title,authors,average_rating,ratings_count,length_category,is_series,series_name,series_position,language_code,publication_date,review_engagement,popularity_category
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,2095690,Unknown,True,Harry Potter,6.0,eng,9/16/2006,0.013165592239310204,Bestseller
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,2153167,Unknown,True,Harry Potter,5.0,eng,9/1/2004,0.013571172138528967,Bestseller
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,6333,Unknown,True,Harry Potter,2.0,eng,11/1/2003,0.038528343597031424,Modest
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,2339585,Unknown,True,Harry Potter,3.0,eng,5/1/2004,0.015526257861971248,Bestseller
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,41428,Unknown,False,Standalone,,eng,9/13/2004,0.003958675292072994,Popular
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,19,Unknown,False,Standalone,,en-US,4/26/2005,0.05263157894736842,Unknown
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,28242,Unknown,False,Standalone,,eng,9/12/2005,0.028609871822108914,Popular
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,3628,Unknown,False,Standalone,,eng,11/1/2005,0.07001102535832414,Modest
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,249558,Unknown,False,Standalone,,eng,4/30/2002,0.016348904863799196,Bestseller
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,4930,Unknown,True,Hitchhiker's Guide to the Galaxy,1.0,eng,8/3/2004,0.09330628803245436,Modest
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,1266,Unknown,True,Hitchhiker's Guide to the Galaxy,1.0,eng,3/23/2005,0.19984202211690363,Modest
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,2877,Unknown,False,Standalone,,eng,1/17/1996,0.06777893639207508,Modest
A Short History of Nearly Everything,Bill Bryson,4.21,248558,Unknown,False,Standalone,,eng,9/14/2004,0.037802042179290146,Bestseller
Bill Bryson's African Diary,Bill Bryson,3.44,7270,Unknown,False,Standalone,,eng,12/3/2002,0.06863823933975241,Modest
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,2088,Unknown,False,Standalone,,eng,9/14/2004,0.06273946360153257,Modest
In a Sunburned Country,Bill Bryson,4.07,72451,Unknown,False,Standalone,,eng,5/15/2001,0.058591323791252016,Popular
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,49240,Unknown,False,Standalone,,eng,6/28/2000,0.044902518277822906,Popular
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,45712,Unknown,False,Standalone,,eng,8/28/1990,0.04937434371718586,Popular
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,48701,Unknown,False,Standalone,,eng,3/28/1993,0.04595388185047535,Popular
Notes from a Small Island,Bill Bryson,3.91,80609,Unknown,False,Standalone,,eng,5/28/1997,0.0409507623218251,Popular
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,28489,Unknown,False,Standalone,,eng,9/28/1991,0.07318614201972691,Popular
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,101233,Unknown,False,Standalone,,eng,9/25/2012,0.015311212746831566,Bestseller
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,1710,Unknown,False,Standalone,,eng,10/21/2004,0.05321637426900585,Modest
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,2128944,Unknown,True,The Lord of the Rings,1.0,eng,9/5/2003,0.006421023756378749,Bestseller
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,1618,Unknown,False,Standalone,,en-US,10/1/2002,0.0865265760197775,Modest
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,19822,Unknown,False,Standalone,,eng,11/5/2003,0.0023206538189890023,Popular
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,359,Unknown,False,Standalone,,eng,11/15/2004,0.016713091922005572,Niche
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,1430,Unknown,False,Standalone,,eng,7/28/2005,0.04125874125874126,Modest
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,270244,Unknown,True,Brian's Saga,1.0,eng,4/1/2000,0.0444672222139992,Bestseller
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,36,Unknown,False,Standalone,,eng,8/28/1994,0.05555555555555555,Unknown
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,2067,Unknown,False,Standalone,,eng,1/23/2001,0.16158684083212385,Modest
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,6,Unknown,False,Standalone,,eng,6/10/2003,0.0,Unknown
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,99,Unknown,False,Standalone,,en-US,11/1/2005,0.16161616161616163,Unknown
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,167,Unknown,True,Changeling Seasons,1.0,eng,11/1/2005,0.023952095808383235,Niche
Changeling (Changeling  #1),Delia Sherman,3.6,978,Unknown,True,Changeling,1.0,eng,8/17/2006,0.11349693251533742,Niche
The Changeling Sea,Patricia A. McKillip,4.06,4454,Unknown,False,Standalone,,eng,4/14/2003,0.06780422092501123,Modest
The Changeling,Zilpha Keatley Snyder,4.17,1176,Unknown,False,Standalone,,eng,6/8/2004,0.08163265306122448,Modest
The Changeling,Kate Horsley,3.55,301,Unknown,False,Standalone,,eng,4/12/2005,0.14285714285714285,Niche
The Changeling (Daughters of England  #15),Philippa Carr,3.98,345,Unknown,True,Daughters of England,15.0,eng,8/28/1990,0.034782608695652174,Niche
The Known World,Edward P. Jones,3.83,29686,Unknown,False,Standalone,,eng,8/29/2006,0.08845920635990029,Popular
The Known World,Edward P. Jones/Kevin R. Free,3.83,55,Unknown,False,Standalone,,en-US,6/15/2004,0.21818181818181817,Unknown
The Known World,Edward P. Jones,3.83,22,Unknown,False,Standalone,,eng,6/15/2004,0.13636363636363635,Unknown
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,1456,Unknown,False,Standalone,,eng,5/15/2006,0.05631868131868132,Modest
Artesia: Adventures in the Known World,Mark Smylie,4.13,52,Unknown,False,Standalone,,eng,12/14/2005,0.07692307692307693,Unknown
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,562,Unknown,True,John McPhee Reader,1.0,eng,6/1/1982,0.06583629893238434,Niche
Uncommon Carriers,John McPhee,3.95,1630,Unknown,False,Standalone,,en-US,5/16/2006,0.1245398773006135,Modest
Heirs of General Practice,John McPhee,4.17,268,Unknown,False,Standalone,,eng,4/1/1986,0.08208955223880597,Niche
The Control of Nature,John McPhee,4.24,3498,Unknown,False,Standalone,,en-US,9/1/1990,0.08719268153230417,Modest
Annals of the Former World,John McPhee,4.34,3115,Unknown,False,Standalone,,eng,1/6/1999,0.07319422150882825,Modest
Coming Into the Country,John McPhee,4.22,5704,Unknown,False,Standalone,,eng,4/1/1991,0.045757363253856945,Modest
La Place de la Concorde Suisse,John McPhee,3.92,698,Unknown,False,Standalone,,fre,4/1/1994,0.07449856733524356,Niche
Giving Good Weight,John McPhee,4.23,542,Unknown,False,Standalone,,eng,4/1/1994,0.06642066420664207,Niche
Rising from the Plains,John McPhee,4.23,1341,Unknown,False,Standalone,,eng,11/1/1987,0.07307979120059657,Modest
The Heidi Chronicles,Wendy Wasserstein,3.75,1423,Unknown,False,Standalone,,eng,3/1/2002,0.049191848208011243,Modest
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,2766,Unknown,False,Standalone,,eng,7/2/1991,0.023138105567606652,Modest
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,31,Unknown,False,Standalone,,eng,3/29/2006,0.03225806451612903,Unknown
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,62,Unknown,False,Standalone,,en-US,3/14/2006,0.06451612903225806,Unknown
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,860,Unknown,False,Standalone,,eng,9/1/2003,0.06162790697674419,Niche
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,77,Unknown,False,Standalone,,en-US,1/28/1997,0.025974025974025976,Unknown
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,153317,Unknown,False,Standalone,,eng,11/15/2002,0.014721133338116452,Bestseller
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,55,Unknown,False,Standalone,,eng,11/15/2004,0.09090909090909091,Unknown
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,34,Unknown,False,Standalone,,eng,4/28/2003,0.17647058823529413,Unknown
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,11797,Unknown,False,Standalone,,eng,10/16/2003,0.055861659744002715,Popular
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,34,Unknown,False,Standalone,,eng,5/10/2004,0.23529411764705882,Unknown
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,78,Unknown,False,Standalone,,en-US,8/19/2004,0.05128205128205128,Unknown
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,2785,Unknown,True,Dune Chronicles,4.0,eng,6/15/1987,0.05960502692998205,Modest
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,38778,Unknown,True,Dune Chronicles,6.0,eng,7/1/1987,0.014647480530197534,Popular
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,97494,Unknown,True,Dune Chronicles,2.0,eng,7/15/1987,0.02419636080169036,Popular
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,784,Unknown,False,Standalone,,en-US,7/1/2004,0.026785714285714284,Niche
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,272,Unknown,True,Dune Chronicles,5.0,eng,4/16/1984,0.07352941176470588,Niche
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,4789,Unknown,False,Standalone,,eng,8/29/2006,0.017331384422635206,Modest
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,45388,Unknown,True,Dune Chronicles,5.0,eng,8/15/1987,0.01418877236273905,Popular
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,26153,Unknown,False,Standalone,,eng,6/12/2002,0.0039001261805529,Popular
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,69167,Unknown,True,The Power of One,1.0,eng,9/29/1996,0.06579727326615294,Popular
